categoria,hasAnswer,hasAuthor,hasBanner,hasButton,hasBuy,hasCart,hasChat,hasComment,hasContent,hasControl,hasCountry,hasCustomer,hasDropdown,hasFilter,hasForm,hasForum,hasItemProp,hasMetaKeywords,hasNewsletter,hasOrder,hasPresentation,hasPrices,hasPrint,hasProduct,hasPurchase,hasRadio,hasRelNext,hasRelPrev,hasRelated,hasReply,hasReview,hasSale,hasSchemaOrg,hasShipping,hasSort,hasThread,hasUser,hasVotes,hasWishlist,hreflangCount,imgHasAlt,tag_a,tag_abbr,tag_article,tag_aside,tag_b,tag_button,tag_dd,tag_div,tag_dl,tag_em,tag_figcaption,tag_figure,tag_form,tag_h2,tag_h3,tag_h4,tag_h5,tag_h6,tag_hr,tag_i,tag_iframe,tag_img,tag_input,tag_label,tag_li,tag_ol,tag_p,tag_picture,tag_pre,tag_section,tag_select,tag_small,tag_span,tag_strong,tag_sup,tag_svg,tag_table,tag_tbody,tag_td,tag_th,tag_time,tag_tr,tag_ul,tag_video,word_count,word_count_no_boilerplate
E-commerce / Pagina di prodotto,0,0,15,25,0,2,2,0,8,2,0,1,24,2,0,0,0,0,3,4,9,77,0,26,0,0,0,0,0,0,2,1,1,1,0,0,0,0,15,2,27,447,0,0,0,0,67,0,1103,0,0,0,0,1,13,0,0,7,0,0,0,0,40,1,0,13,0,18,12,0,9,0,0,301,0,0,128,0,0,0,0,0,0,2,0,8686,0
E-commerce / Pagina di categoria,0,0,3,4,0,10,1,0,13,1,1,2,13,13,15,0,0,1,6,10,0,99,1,4,0,0,0,0,0,0,3,0,0,1,0,0,1,0,9,0,51,695,0,0,0,0,10,0,773,0,3,0,0,2,2,0,0,7,0,1,3,6,53,101,94,593,0,17,0,0,0,2,1,220,73,0,42,0,0,0,0,0,0,55,0,14151,2792
E-commerce / Pagina di prodotto,0,0,0,153,9,10,0,8,67,6,0,18,13,2,11,0,0,1,0,9,3,44,0,31,2,2,0,0,0,0,123,0,0,3,2,0,0,0,4,0,85,362,0,0,0,19,1,0,899,0,0,0,0,6,11,10,6,1,0,21,145,6,103,68,3,132,4,30,0,0,0,2,0,679,1,0,0,7,6,51,3,0,16,19,0,20275,6977
E-commerce / Pagina di categoria,0,0,0,0,0,1,0,0,1,0,0,1,0,67,25,0,0,1,7,0,0,39,0,40,0,0,2,0,0,0,0,2,2,0,3,0,2,0,0,0,139,606,0,0,0,3,1,0,302,0,1,0,0,3,1,10,8,0,0,0,17,0,147,41,2,511,0,5,48,0,1,1,0,308,0,0,27,0,0,0,0,0,0,53,0,9567,243
E-commerce / Pagina di prodotto,0,0,0,17,0,1,0,0,1,1,2,1,0,0,1,0,6,1,7,0,0,18,0,38,0,0,0,0,1,0,0,2,2,0,0,0,2,0,3,0,93,569,0,0,0,3,22,0,258,0,1,0,0,2,1,16,2,0,0,0,12,1,123,34,0,477,0,8,22,0,1,0,0,67,3,0,5,0,0,0,0,0,0,50,1,10529,2101
Contenuto editoriale,0,0,2,3,0,0,0,0,4,0,0,0,0,7,12,0,2,0,9,0,0,4,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,14,146,0,0,0,0,0,0,307,0,18,0,0,2,3,6,1,0,0,0,0,21,23,8,0,94,0,9,7,0,1,0,0,68,34,0,4,0,0,0,0,0,0,17,0,11585,6037
Contenuto editoriale,0,0,0,111,0,0,0,0,21,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,38,175,0,0,0,0,0,0,379,0,25,0,0,1,1,0,0,0,0,8,2,1,40,1,1,103,0,48,20,0,0,0,1,176,63,0,4,0,0,0,0,1,0,19,0,12001,8891
Discussione,34,13,17,5,0,0,0,0,28,1,0,0,0,0,3,43,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,1,0,0,26,55,18,0,0,71,203,0,0,0,0,2,0,375,0,0,0,0,1,3,1,0,0,0,2,22,12,72,7,0,116,0,36,0,0,0,0,0,433,0,0,0,0,0,0,0,0,0,23,1,9699,1729
Discussione,8,0,2,16,0,0,0,0,44,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,2,0,0,0,1,43,0,0,0,0,0,0,222,0,0,0,0,0,0,3,0,0,0,0,2,0,1,1,0,25,0,4,0,0,0,0,0,91,1,0,2,0,0,0,0,0,0,2,0,1746,0
Contenuto editoriale,0,3,21,26,0,2,0,9,1,10,0,0,1,0,1,0,0,0,1,2,0,1,16,0,0,0,0,0,1,0,5,0,1,0,0,0,5,0,0,0,71,300,0,38,2,0,4,0,494,0,0,0,0,3,9,0,0,0,0,0,2,7,75,7,0,123,0,78,0,0,0,0,0,114,13,0,0,0,0,0,0,0,0,26,0,10312,3097
